S.No,State,District ,Code ,Headquarters ,Population (2011) ,Area (km²) ,Density (/km²),
84,West Bengal (WB),Birbhum,BI,Suri,"35,02,387","4,545",771,
85,Uttar Pradesh (UP),Bulandshahr,BU,Bulandshahr,"34,98,507","3,719",788,
86,Bihar (BR),Vaishali,VA,Hajipur,"34,95,021","2,036","1,717",
87,Punjab (PB),Ludhiana,LU,Ludhiana,"34,87,882","3,744",975,
88,Telangana (TS),Nalgonda,NA,Nalgonda,"34,83,648","14,240",245,
89,Tamil Nadu (TN),Salem,SA,Salem,"34,80,008","5,245",663,
90,Tamil Nadu (TN),Coimbatore,CO,Coimbatore,"34,72,578","7,469",748,
91,Uttar Pradesh (UP),Saharanpur,SA,Saharanpur,"34,64,228","3,689",939,
92,Tamil Nadu (TN),Viluppuram,VL,Viluppuram,"34,63,284","7,190",462,
93,Uttar Pradesh (UP),Meerut,ME,Meerut,"34,47,405","2,522","1,342",
94,Uttar Pradesh (UP),Gonda,GN,Gonda,"34,31,386","4,425",857,
95,Bihar (BR),Sitamarhi,ST,Sitamarhi,"34,19,622","2,199","1,491",
96,Uttar Pradesh (UP),Raebareli,RB,Raebareli,"34,04,004","4,609",739,
97,Andhra Pradesh (AP),Prakasam,PR,Ongole,"33,92,764","17,626",192,
98,Maharashtra (MH),Nanded,ND,Nanded,"33,56,566","10,528",319,
99,Chhattisgarh (CG),Durg,DU,Durg,"33,43,079","8,542",391,
100,Bihar (BR),Siwan,SW,Siwan,"33,18,176","2,219","1,495",
101,Rajasthan (RJ),Nagaur,NA,Nagaur,"33,09,234","17,718",187,
102,Kerala (KL),Thiruvananthapuram,TV,Thiruvananthapuram,"33,07,284","2,192","1,509",
103,Kerala (KL),Ernakulam,ER,Kakkanad,"32,79,860","2,951","1,069",
104,Bihar (BR),Purnia,PU,Purnia,"32,73,127","3,228","1,014",
105,Madhya Pradesh (MP),Indore,IN,Indore,"32,72,335","3,898",839,
106,Uttar Pradesh (UP),Barabanki,BB,Barabanki,"32,57,983","3,825",739,
107,Uttar Pradesh (UP),Ballia,BL,Ballia,"32,23,642","2,981","1,081",
108,Uttar Pradesh (UP),Pratapgarh,PR,Pratapgarh,"31,73,752","3,717",854,
109,Gujarat (GJ),Rajkot,RA,Rajkot,"31,57,676","11,203",282,
110,Maharashtra (MH),Mumbai City,MC, —,"31,45,966",69,"20,038",
111,Gujarat (GJ),Banaskantha,BK,Palanpur,"31,16,045","12,703",290,
112,Uttar Pradesh (UP),Unnao,UN,Unnao,"31,10,595","4,561",682,
113,Kerala (KL),Thrissur,TS,Thrissur,"31,10,327","3,032","1,026",
114,Uttar Pradesh (UP),Deoria,DE,Deoria,"30,98,637","2,535","1,220",
115,Kerala (KL),Kozhikode,KZ,Kozhikode,"30,89,543","2,345","1,318",
116,Tamil Nadu (TN),Tirunelveli,TI,Tirunelveli,"30,72,880","6,703",458,
117,Bihar (BR),Katihar,KT,Katihar,"30,68,149","3,056","1,004",
118,Rajasthan (RJ),Udaipur,UD,Udaipur,"30,67,549","13,430",242,
119,Bihar (BR),Bhagalpur,BG,Bhagalpur,"30,32,226","2,569","1,180",
120,Telangana (TS),Medak,ME,Sangareddi,"30,31,877","9,699",313,
121,Maharashtra (MH),Satara,ST,Satara,"30,03,922","10,475",287,
122,Uttar Pradesh (UP),Shahjahanpur,SJ,Shahjahanpur,"30,02,376","4,575",673,
123,West Bengal (WB),Uttar Dinajpur,UD,Raiganj,"30,00,849","3,180",956,
124,Karnataka (KA),Mysore,MY,Mysore,"29,94,744","6,854",437,
125,Andhra Pradesh (AP),Sri Potti Sriramulu Nellore,NE,Nellore,"29,66,082","13,076",227,
126,Bihar (BR),Rohtas,RO,Sasaram,"29,62,593","3,850",763,
127,Bihar (BR),Begusarai,BE,Begusarai,"29,54,367","1,917","1,540",
128,West Bengal (WB),Purulia,PU,Purulia,"29,27,965","6,259",468,
129,Jharkhand (JH),Ranchi,RA,Ranchi,"29,12,022","7,974",557,
130,Punjab (PB),Patiala,PA,Patiala,"28,92,282","3,175",596,
131,Maharashtra (MH),Amravati,AM,Amravati,"28,87,826","12,235",237,
132,Andhra Pradesh (AP),Kadapa,CU,Kadapa,"28,84,524","15,359",188,
133,Gujarat (GJ),Bhavnagar,BV,Bhavnagar,"28,77,961","11,155",288,
134,Bihar (BR),Nalanda,NL,Bihar Sharif,"28,72,523","2,354","1,220",
135,Tamil Nadu (TN),Kanyakumari,KK,Nagercoil,"28,63,178","1,685","1,106",
136,Assam (AS),Nagaon,NG,Nagaon,"28,26,006","3,831",711,
137,West Bengal (WB),Cooch Behar,KB,Cooch Behar,"28,22,780","3,387",833,
138,Maharashtra (MH),Sangli,SN,Sangli,"28,20,575","8,572",329,
139,Kerala (KL),Palakkad,PL,Palakkad,"28,10,892","4,480",627,
140,Bihar (BR),Araria,AR,Araria,"28,06,200","2,829",992,
141,Telangana (TS),Khammam,KH,Khammam,"27,98,214","16,029",175,
142,Maharashtra (MH),Yavatmal,YA,Yavatmal,"27,75,457","13,582",204,
143,Gujarat (GJ),Junagadh,JU,Junagadh,"27,42,291","8,839",310,
144,Telangana (TS),Adilabad,AD,Adilabad,"27,37,738","16,105",170,
145,Delhi (DL),South Delhi,SD,Saket,"27,33,752",250,"10,935",
146,Bihar (BR),Bhojpur,BJ,Arrah,"27,20,155","2,473","1,136",
147,Tamil Nadu (TN),Tiruchirappalli,TC,Tiruchirappalli,"27,13,858","4,407",602,
148,Andhra Pradesh (AP),Srikakulam,SR,Srikakulam,"26,99,471","5,837",462,
149,Jharkhand (JH),Dhanbad,DH,Dhanbad,"26,82,662","2,075","1,284",
150,Karnataka (KA),Tumkur,TU,Tumkur,"26,81,449","10,598",253,
151,Rajasthan (RJ),Sikar,SK,Sikar,"26,77,737","7,732",346,
152,Uttar Pradesh (UP),Maharajganj,MG,Maharajganj,"26,65,292","2,953",903,
153,Chhattisgarh (CG),Bilaspur,BI,Bilaspur,"26,62,077",6377,322,
154,Maharashtra (MH),Raigad,RG,Alibag,"26,35,394","7,152",368,
155,Uttar Pradesh (UP),Fatehpur,FT,Fatehpur,"26,32,684","4,152",634,
156,Kerala (KL),Kollam,KL,Kollam,"26,29,703","2,498","1,056",
157,Odisha (OD),Cuttack,CU,Cuttack,"26,18,708","3,915",666,
158,Rajasthan (RJ),Barmer,BM,Barmer,"26,04,453","28,387",92,
159,Tamil Nadu (TN),Cuddalore,CU,Cuddalore,"26,00,880","3,999",702,
160,Maharashtra (MH),Buldhana,BU,Buldhana,"25,88,039","9,661",268,
161,Maharashtra (MH),Beed,BI,Beed,"25,85,962","10,693",242,
162,Rajasthan (RJ),Ajmer,AJ,Ajmer,"25,84,913","8,481",305,
163,Karnataka (KA),Gulbarga,GU,Gulbarga,"25,64,892","10,990",233,
164,Bihar (BR),Gopalganj,GO,Gopalganj,"25,58,037","2,033","1,258",
165,Uttar Pradesh (UP),Siddharthnagar,SN,Navgarh,"25,53,526","2,751",882,
166,Telangana (TS),Nizamabad,NI,Nizamabad,"25,52,073","7,956",321,
167,Rajasthan (RJ),Bharatpur,BP,Bharatpur,"25,49,121","5,066",503,
168,Uttar Pradesh (UP),Mathura,MT,Mathura,"25,41,894","3,333",761,
169,Karnataka (KA),Bellary,BL,Bellary,"25,32,383","8,439",300,
170,Delhi (DL),West Delhi,WD,Rajouri Garden,"25,31,583",112,"19,625",
171,Kerala (KL),Kannur,KN,Kannur,"25,25,637","2,966",852,
172,Odisha (OD),Mayurbhanj,MY,Baripada,"25,13,895","10,418",241,
173,Bihar (BR),Aurangabad,AU,Aurangabad,"25,11,243","3,303",760,
174,Uttar Pradesh (UP),Firozabad,FI,Firozabad,"24,96,761","2,361","1,044",
175,Uttar Pradesh (UP),Mirzapur,MI,Mirzapur,"24,94,533","4,522",561,
176,Punjab (PB),Amritsar,AM,Amritsar,"24,90,891","2,673",932,
177,Tamil Nadu (TN),Tirupur,TP,Tirupur,"24,71,222","5,106",476,
178,Tamil Nadu (TN),Tiruvannamalai,TV,Tiruvannaamalai,"24,68,965","6,191",399,
179,Uttar Pradesh (UP),Faizabad,FZ,Faizabad,"24,68,371","2,765","1,054",
180,Uttar Pradesh (UP),Basti,BS,Basti,"24,61,056","2,687",916,
181,Madhya Pradesh (MP),Jabalpur,JA,Jabalpur,"24,60,714","5,210",472,
182,Maharashtra (MH),Latur,LA,Latur,"24,55,543","7,157",343,
183,Jharkhand (JH),Giridih,GI,Giridih,"24,45,203","4,887",497,
184,Gujarat (GJ),Sabarkantha,SK,Himatnagar,"24,27,346","7,390",328,
185,Rajasthan (RJ),Bhilwara,BW,Bhilwara,"24,10,459","10,455",230,
186,Tamil Nadu (TN),Thanjavur,TJ,Thanjavur,"24,02,781","3,397",691,
187,Uttar Pradesh (UP),Ambedkar Nagar,AN,Akbarpur,"23,98,709","2,372","1,021",
188,Gujarat (GJ),Panchmahal,PM,Godhra,"23,88,267","5,219",458,
189,Uttar Pradesh (UP),Bahraich,BH,Bahraich,"23,84,239","4,926",415,
190,Madhya Pradesh (MP),Sagar,SG,Sagar,"23,78,295","10,252",272,
191,Madhya Pradesh (MP),Bhopal,BP,Bhopal,"23,68,145","2,772",854,
192,Rajasthan (RJ),Bikaner,BI,Bikaner,"23,67,745","27,244",78,
193,Madhya Pradesh (MP),Rewa,RE,Rewa,"23,63,744","6,314",374,
194,Andhra Pradesh (AP),Vizianagaram,VZ,Vizianagaram,"23,42,868","6,539",358,
195,Uttar Pradesh (UP),Rampur,RA,Rampur,"23,35,398","2,367",987,
